Kode Rumah Sakit,Nama Rumah Sakit,Tipe,Alamat,Latitude,Longitude,Telepon,Email,Kelas,Kamar,Jumlah Bed,BPJS
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,ICU,,31,0
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,VVIP/Super VIP,,4,0
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,VIP,,52,0
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,Kelas I,"Ruang ANGGREK III - PALIATIF CARE, ANGGREK III, ANGGREK II - UNIT STROKE, ASTER V, PONEK RANAP, FLAMBOYAN 6, FLAMBOYAN 7, MAWAR 3, TULIP 4, TULIP 5, TULIP 6",61,0
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,Kelas II,"Ruang ANGGREK III - PALIATIF CARE, ANGGREK III, ANGGREK II - UNIT STROKE, ASTER V, PONEK RANAP, FLAMBOYAN 6, FLAMBOYAN 7, MAWAR 2, TULIP 5",62,0
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,Kelas III,"Ruang ANGGREK III - PALIATIF CARE, ANGGREK I - TB PARU, ANGGREK I, ANGGREK II, ANGGREK II - UNIT STROKE, ASTER V, PONEK RANAP, FLAMBOYAN 6, FLAMBOYAN 7, FLAMBOYAN 8, FLAMBOYAN 9, FLAMBOYAN 10, TULIP 5, TULIP 6",88,0
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,ICU,,18,0
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,VVIP/Super VIP,,9,0
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,VIP,,41,0
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,Kelas I,"Ruang Lt. 8 Utara, Lt. 7 Selatan, Lt. 7 Utara, Lt. 6 Selatan, Lt. 5 Utara, Lt. 3 Utara",3,0
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,Kelas II,"Ruang Lt. 8 Utara, Lt. 7 Selatan, Lt. 6 Selatan, Lt. 5 Utara, Lt. 3 Utara",10,0
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,Kelas III,"Ruang Lt. 8 Utara, Lt. 7 Selatan, Lt. 6 Selatan, Lt. 5 Utara, Lt. 3 Utara",22,0
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,ICU,,11,0
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,VVIP/Super VIP,,14,0
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,VIP,,38,0
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,Kelas I,,60,0
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,Kelas II,,70,0
3372096,RS Umum PKU Muhammadiyah Surakarta,B,"Jl. Ronggowarsito 130, Surakarta",-7.565419,110.816600,0271-714578,humas_pkusolo@yahoo.co.id,Kelas III,,89,0
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,ICU,,12,0
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,VVIP/Super VIP,,3,0
3372165,RS Umum Kasih Ibu,B,"Jl. Slamet Riyadi 404, Surakarta",-7.563000,110.801754,0271-714422,rsukasihibu@yahoo.com,VIP,,22,0
