Kode Rumah Sakit,Nama Rumah Sakit,Tipe,Alamat,Latitude,Longitude,Telepon,Email,Kelas,Kamar,Jumlah Bed,BPJS,No WhatsApp,Foto Rumah Sakit
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,ICU,,31,0,+628112671881,https://www.saranamedical.com/uploads/posts/client/20191017094508.jpg
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,VVIP/Super VIP,,4,0,+628112671881,https://www.saranamedical.com/uploads/posts/client/20191017094508.jpg
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,VIP,,52,0,+628112671881,https://www.saranamedical.com/uploads/posts/client/20191017094508.jpg
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,Kelas I,"Ruang ANGGREK III - PALIATIF CARE, ANGGREK III, ANGGREK II - UNIT STROKE, ASTER V, PONEK RANAP, FLAMBOYAN 6, FLAMBOYAN 7, MAWAR 3, TULIP 4, TULIP 5, TULIP 6",61,0,+628112671881,https://www.saranamedical.com/uploads/posts/client/20191017094508.jpg
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,Kelas II,"Ruang ANGGREK III - PALIATIF CARE, ANGGREK III, ANGGREK II - UNIT STROKE, ASTER V, PONEK RANAP, FLAMBOYAN 6, FLAMBOYAN 7, MAWAR 2, TULIP 5",62,0,+628112671881,https://www.saranamedical.com/uploads/posts/client/20191017094508.jpg
3372015,RS Umum Daerah Dr. Moewardi Surakarta,A,"Jl. Kol Sutarto 132,Surakarta",-7.558540,110.841899,0271-634634,rsmoewardi@jatengprov.go.id,Kelas III,"Ruang ANGGREK III - PALIATIF CARE, ANGGREK I - TB PARU, ANGGREK I, ANGGREK II, ANGGREK II - UNIT STROKE, ASTER V, PONEK RANAP, FLAMBOYAN 6, FLAMBOYAN 7, FLAMBOYAN 8, FLAMBOYAN 9, FLAMBOYAN 10, TULIP 5, TULIP 6",88,0,+628112671881,https://www.saranamedical.com/uploads/posts/client/20191017094508.jpg
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,ICU,,18,0,+628113620220,https://drive.google.com/file/d/1zlAeg3RFEas4_URsbyeMedFr8m42aNOP/view?usp=drive_link
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,VVIP/Super VIP,,9,0,+628113620220,https://drive.google.com/file/d/1zlAeg3RFEas4_URsbyeMedFr8m42aNOP/view?usp=drive_link
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,VIP,,41,0,+628113620220,https://drive.google.com/file/d/1zlAeg3RFEas4_URsbyeMedFr8m42aNOP/view?usp=drive_link
3372026,RS Umum Dr. Oen,B,"Jl. Brigjend Katamso 55, Surakarta",-7.555617,110.837808,0271-643139,info@droenska.com,Kelas I,"Ruang Lt. 8 Utara, Lt. 7 Selatan, Lt. 7 Utara, Lt. 6 Selatan, Lt. 5 Utara, Lt. 3 Utara",3,0,+628113620220,https://drive.google.com/file/d/1zlAeg3RFEas4_URsbyeMedFr8m42aNOP/view?usp=drive_link
